"id","code","cnword"
"634","32594","罒"
"635","32906","肊"
"636","33403","艻"
"637","33404","艼"
"638","33405","艽"
"639","33406","艾"
"640","33407","艿"
"641","33408","芀"
"642","33409","芁"
"643","33410","节"
"644","34916","衤"
"645","35750","讦"
"646","35751","讧"
"647","35752","讨"
"648","35753","让"
"649","35754","讪"
"650","35755","讫"
"651","35756","讬"
"652","35757","训"
"653","35758","议"
"654","35759","讯"
"655","35760","记"
"656","35761","讱"
"657","36711","轧"
"658","36792","辸"
"659","36793","边"
"660","36794","辺"
"661","36795","辻"
"662","36796","込"
"663","36797","辽"
"664","37012","邔"
"665","37014","邖"
"666","37015","邗"
"667","37016","邘"
"668","37017","邙"
"669","37018","邚"
"670","37019","邛"
"671","37020","邜"
"672","37021","邝"
"673","38021","钅"
"674","38378","闪"
"675","38432","阠"
"676","38433","阡"
"677","38434","阢"
"678","38435","阣"
"679","38436","阤"
"680","39268","饤"
"681","39269","饥"
"682","39533","驭"
"683","40479","鸟"
"684","40857","龙"
"685","19998","丞"
"686","19999","丟"
"687","20000","丠"
"688","20001","両"
"689","20002","丢"
"690","20049","乑"
"691","20050","乒"
"692","20051","乓"
"693","20052","乔"
"694","20072","乨"
"695","20073","乩"
"696","20074","乪"
"697","20075","乫"
"698","20077","乭"
"699","20078","乮"
"700","20079","乯"
"701","20080","买"
"702","20105","争"
"703","20120","亘"
"704","20121","亙"
"705","20122","亚"
"706","20132","交"
"707","20133","亥"
"708","20134","亦"
"709","20135","产"
"710","20207","仯"
"711","20208","仰"
"712","20209","仱"
"713","20210","仲"
"714","20211","仳"
"715","20212","仴"
"716","20213","仵"
"717","20214","件"
"718","20215","价"
"719","20216","仸"
"720","20217","仹"
"721","20219","任"
"722","20220","仼"
"723","20221","份"
"724","20222","仾"
"725","20223","仿"
"726","20224","伀"
"727","20225","企"
"728","20226","伂"
"729","20227","伃"
"730","20228","伄"
"731","20229","伅"
"732","20230","伆"
"733","20231","伇"
"734","20232","伈"
"735","20233","伉"
"736","20234","伊"
"737","20235","伋"
"738","20236","伌"
"739","20237","伍"
"740","20238","伎"
"741","20239","伏"
"742","20240","伐"
"743","20241","休"
"744","20242","伒"
"745","20243","伓"
"746","20244","伔"
"747","20245","伕"
"748","20246","伖"
"749","20247","众"
"750","20248","优"
"751","20249","伙"
"752","20250","会"
"753","20251","伛"
"754","20252","伜"
"755","20253","伝"
"756","20254","伞"
"757","20255","伟"
"758","20256","传"
"759","20257","伡"
"760","20258","伢"
"761","20259","伣"
"762","20260","伤"
"763","20261","伥"
"764","20262","伦"
"765","20263","伧"
"766","20264","伨"
"767","20265","伩"
"768","20266","伪"
"769","20267","伫"
"770","20268","伬"
"771","20322","佢"
"772","20324","佤"
"773","20805","充"
"774","20806","兆"
"775","20807","兇"
"776","20808","先"
"777","20809","光"
"778","20810","兊"
"779","20840","全"
"780","20849","共"
"781","20850","兲"
"782","20851","关"
"783","20852","兴"
"784","20877","再"
"785","20891","军"
"786","20892","农"
"787","20912","冰"
"788","20913","冱"
"789","20914","冲"
"790","20915","决"
"791","20916","冴"
"792","20968","凨"
"793","20969","凩"
"794","20970","凪"
"795","20971","凫"
"796","20988","凼"
"797","21006","刎"
"798","21007","刏"
"799","21008","刐"
"800","21009","刑"
"801","21010","划"
"802","21011","刓"
"803","21012","刔"
"804","21013","刕"
"805","21014","刖"
"806","21015","列"
"807","21016","刘"
"808","21017","则"
"809","21018","刚"
"810","21019","创"
"811","21155","劣"
"812","21156","劤"
"813","21157","劥"
"814","21158","劦"
"815","21159","劧"
"816","21160","动"
"817","21256","匈"
"818","21279","匟"
"819","21280","匠"
"820","21281","匡"
"821","21282","匢"
"822","21323","卋"
"823","21326","华"
"824","21327","协"
"825","21360","印"
"826","21361","危"
"827","21386","厊"
"828","21387","压"
"829","21388","厌"
"830","21389","厍"
"831","21437","厽"
"832","21438","厾"
"833","21458","叒"
"834","21503","叿"
"835","21504","吀"
"836","21505","吁"
"837","21506","吂"
"838","21507","吃"
"839","21508","各"
"840","21509","吅"
"841","21510","吆"
"842","21511","吇"
"843","21512","合"
"844","21513","吉"
"845","21514","吊"
"846","21515","吋"
"847","21516","同"
"848","21517","名"
"849","21518","后"
"850","21519","吏"
"851","21520","吐"
"852","21521","向"
"853","21522","吒"
"854","21523","吓"
"855","21524","吔"
"856","21525","吕"
"857","21526","吖"
"858","21527","吗"
"859","22232","囘"
"860","22237","囝"
"861","22238","回"
"862","22239","囟"
"863","22240","因"
"864","22241","囡"
"865","22242","团"
"866","22243","団"
"867","22312","在"
"868","22313","圩"
"869","22314","圪"
"870","22315","圫"
"871","22316","圬"
"872","22317","圭"
"873","22318","圮"
"874","22319","圯"
"875","22320","地"
"876","22321","圱"
"877","22322","圲"
"878","22323","圳"
"879","22324","圴"
"880","22325","圵"
"881","22326","圶"
"882","22327","圷"
"883","22328","圸"
"884","22329","圹"
"885","22330","场"
"886","22334","圾"
"887","22766","壮"
"888","22789","夅"
"889","22807","夗"
"890","22809","夙"
"891","22810","多"
"892","22811","夛"
"893","22837","夵"
"894","22838","夶"
"895","22839","夷"
"896","22840","夸"
"897","22841","夹"
"898","22842","夺"
"899","22843","夻"
"900","22844","夼"
"901","22903","奷"
"902","22904","奸"
"903","22905","她"
"904","22906","奺"
"905","22907","奻"
"906","22908","奼"
"907","22909","好"
"908","22910","奾"
"909","22911","奿"
"910","22912","妀"
"911","22913","妁"
"912","22914","如"
"913","22915","妃"
"914","22916","妄"
"915","22917","妅"
"916","22918","妆"
"917","22919","妇"
"918","22920","妈"
"919","23382","孖"
"920","23383","字"
"921","23384","存"
"922","23385","孙"
"923","23429","宅"
"924","23430","宆"
"925","23431","宇"
"926","23432","守"
"927","23433","安"
"928","23546","寺"
"929","23547","寻"
"930","23548","导"
"931","23574","尖"
"932","23575","尗"
"933","23576","尘"
"934","23589","尥"
"935","23590","尦"
"936","23591","尧"
"937","23613","尽"
"938","23664","屰"
"939","23672","屸"
"940","23673","屹"
"941","23674","屺"
"942","23675","屻"
"943","23676","屼"
"944","23677","屽"
"945","23678","屾"
"946","23679","屿"
"947","23680","岀"
"948","23681","岁"
"949","23682","岂"
"950","23683","岃"
"951","23691","岋"
"952","23692","岌"
"953","24030","州"
"954","24031","巟"
"955","24033","巡"
"956","24041","巩"
"957","24070","帆"
"958","24071","帇"
"959","24072","师"
"960","24180","年"
"961","24181","幵"
"962","24182","并"
"963","24196","庄"
"964","24197","庅"
"965","24198","庆"
"966","24310","延"
"967","24311","廷"
"968","24322","异"
"969","24334","弎"
"970","24335","式"
"971","24336","弐"
"972","24345","弙"
"973","24346","弚"
"974","24347","弛"
"975","24348","弜"
"976","24403","当"
"977","24436","彴"
"978","24437","彵"
"979","24438","彶"
"980","24520","忈"
"981","24523","忋"
"982","24527","忏"
"983","24531","忓"
"984","24532","忔"
"985","24533","忕"
"986","24534","忖"
"987","24537","忙"
"988","24538","忚"
"989","24539","忛"
"990","24547","忣"
"991","25100","戌"
"992","25101","戍"
"993","25102","戎"
"994","25103","戏"
"995","25104","成"
"996","25175","扗"
"997","25176","托"
"998","25177","扙"
"999","25178","扚"
"1000","25179","扛"
"1001","25180","扜"
"1002","25181","扝"
"1003","25182","扞"
"1004","25183","扟"
"1005","25184","扠"
"1006","25185","扡"
"1007","25186","扢"
"1008","25187","扣"
"1009","25188","扤"
"1010","25189","扥"
"1011","25190","扦"
"1012","25191","执"
"1013","25192","扨"
"1014","25193","扩"
"1015","25194","扪"
"1016","25195","扫"
"1017","25196","扬"
"1018","25201","扱"
"1019","25910","收"
"1020","25911","攷"
"1021","26088","旨"
"1022","26089","早"
"1023","26090","旪"
"1024","26091","旫"
"1025","26092","旬"
"1026","26093","旭"
"1027","26094","旮"
"1028","26095","旯"
"1029","26354","曲"
"1030","26355","曳"
"1031","26377","有"
"1032","26417","朱"
"1033","26418","朲"
"1034","26419","朳"
"1035","26420","朴"
"1036","26421","朵"
"1037","26422","朶"
"1038","26423","朷"
"1039","26424","朸"
"1040","26425","朹"
"1041","26426","机"
"1042","26427","朻"
